"","I(X;Y)/H(Y)","I(X;Y)/H(X,Y)","Agreement","NotVotingP"
"HAGAN (D-NC)",0.609384346630825,0.39664093266527,0.909465020576132,0.0185185185185185
"BENNET (D-CO)",0.605009241153938,0.411460807358151,0.917695473251029,0.0123456790123457
"NELSON (D-FL)",0.56226699592783,0.384643697104367,0.915637860082305,0.00617283950617284
"LANDRIEU (D-LA)",0.556990122642222,0.337539360512706,0.886831275720165,0.0288065843621399
"KERRY  JOHN (D-MA)",0.553996864325822,0.321806356691975,0.874485596707819,0.051440329218107
"WARNER (D-VA)",0.544153025890885,0.315158915239559,0.872427983539095,0.0473251028806584
"KLOBUCHAR (D-MN)",0.539023651148598,0.3662625848648,0.909465020576132,0.00411522633744856
"KOHL (D-WI)",0.516749646236202,0.30726986058871,0.878600823045268,0.0349794238683128
"BINGAMAN (D-NM)",0.505154078256162,0.31678237668946,0.888888888888889,0.0102880658436214
"COONS (D-DE)",0.504949682772766,0.332209668375155,0.89917695473251,0.00205761316872428
"UDALL (D-CO)",0.502780734481002,0.309214815025432,0.882716049382716,0.0185185185185185
"CARPER (D-DE)",0.502731447120652,0.331365941247752,0.89917695473251,0.00205761316872428
"CONRAD (D-ND)",0.498617306393152,0.298309832897614,0.878600823045268,0.0246913580246914
"CASEY (D-PA)",0.495974840825112,0.311460683388204,0.888888888888889,0.01440329218107
"LIEBERMAN (D-CT)",0.494820279039882,0.284329639373433,0.866255144032922,0.0390946502057613
"JOHNSON (D-SD)",0.485826658302511,0.306159162234653,0.888888888888889,0.0102880658436214
"PRYOR (D-AR)",0.485478272044359,0.295374156164428,0.880658436213992,0.0164609053497942
"SHAHEEN (D-NH)",0.483702446155335,0.302852833888735,0.886831275720165,0.0123456790123457
"SCHUMER (D-NY)",0.481926640629469,0.292407777047854,0.880658436213992,0.0205761316872428
"FEINSTEIN (D-CA)",0.478968634248021,0.288588732498759,0.878600823045268,0.0185185185185185
"INOUYE (D-HI)",0.475398451281797,0.235314213276624,0.796296296296296,0.121399176954733
"BAUCUS (D-MT)",0.473262866587372,0.293087655848689,0.882716049382716,0.00823045267489712
"WHITEHOUSE (D-RI)",0.469269927058158,0.293439061490293,0.882716049382716,0.00617283950617284
"STABENOW (D-MI)",0.468622352247635,0.290311695881138,0.878600823045268,0.01440329218107
"AKAKA (D-HI)",0.463495254597618,0.270079707606904,0.862139917695473,0.0226337448559671
"MENENDEZ (D-NJ)",0.461486200644233,0.268795072122601,0.866255144032922,0.0267489711934156
"LEVIN  CARL (D-MI)",0.455357024018906,0.292475038134077,0.88477366255144,0
"WEBB (D-VA)",0.453879302101683,0.25361827355865,0.849794238683128,0.0432098765432099
