"","I(X;Y)/H(Y)","I(X;Y)/H(X,Y)","Agreement","NotVotingP"
"DONNELLY (D-IN)",0.710207836898779,0.529770219197445,0.968036529680365,0.0045662100456621
"HEITKAMP (D-ND)",0.709421958700231,0.436966837490293,0.943683409436834,0.0228310502283105
"KAINE (D-VA)",0.689792735905517,0.454128614625291,0.954337899543379,0.0136986301369863
"HAGAN (D-NC)",0.681301379993667,0.43128787113934,0.945205479452055,0.0258751902587519
"WARNER (D-VA)",0.675725361478668,0.42006955094877,0.943683409436834,0.0213089802130898
"BEGICH (D-AK)",0.668116105805972,0.33823375523784,0.893455098934551,0.0745814307458143
"KLOBUCHAR (D-MN)",0.659874597113412,0.447882684548963,0.9558599695586,0.0076103500761035
"JOHNSON (D-SD)",0.655819898752492,0.435086619850573,0.952815829528158,0.0060882800608828
"LANDRIEU (D-LA)",0.647266294143864,0.284845263867957,0.84779299847793,0.10958904109589
"COONS (D-DE)",0.647252865685677,0.402401799956589,0.943683409436834,0.0197869101978691
"BENNET (D-CO)",0.643982892729981,0.427843315185834,0.952815829528158,0.0121765601217656
"UDALL (D-CO)",0.637526315125431,0.332633133168152,0.905631659056317,0.0563165905631659
"DURBIN (D-IL)",0.631654800389321,0.42969022584444,0.954337899543379,0.0030441400304414
"NELSON (D-FL)",0.62981184933346,0.368576969280179,0.933028919330289,0.0289193302891933
"CASEY (D-PA)",0.622582266738948,0.367747950849067,0.933028919330289,0.030441400304414
"CARPER (D-DE)",0.618838695650776,0.413481674880181,0.951293759512938,0.0030441400304414
"HEINRICH (D-NM)",0.616127308872532,0.4112279888535,0.951293759512938,0.0060882800608828
"FRANKEN (D-MN)",0.610572526258595,0.403763328870964,0.949771689497717,0.0045662100456621
"STABENOW (D-MI)",0.607222723844652,0.365671248043526,0.937595129375951,0.0167427701674277
"TESTER (D-MT)",0.604620687048459,0.367358177366681,0.937595129375951,0.0106544901065449
"HARKIN (D-IA)",0.600441504889843,0.316963684029227,0.911719939117199,0.0441400304414003
"HIRONO (D-HI)",0.598037518439859,0.400205461219105,0.949771689497717,0.0015220700152207
"CARDIN (D-MD)",0.597662780272418,0.391880787065446,0.948249619482496,0.0045662100456621
"UDALL (D-NM)",0.596189029404386,0.397854457485057,0.949771689497717,0.0030441400304414
"MCCASKILL (D-MO)",0.594708100750061,0.315030013638382,0.907153729071537,0.0563165905631659
"CANTWELL (D-WA)",0.582301653154809,0.381466482291001,0.946727549467275,0.0045662100456621
"SCHUMER (D-NY)",0.582119754662659,0.392688468363652,0.949771689497717,0.0015220700152207
"MURRAY (D-WA)",0.577080966475585,0.335401039310295,0.929984779299848,0.0258751902587519
"LEVIN  CARL (D-MI)",0.573987019152864,0.325077487961087,0.925418569254186,0.0228310502283105
"LEAHY (D-VT)",0.572662248886287,0.348224865188107,0.936073059360731,0.0106544901065449
"MIKULSKI (D-MD)",0.571573467068429,0.301117924460607,0.910197869101979,0.0426179604261796
"FEINSTEIN (D-CA)",0.571515384929789,0.298587423445189,0.907153729071537,0.045662100456621
"MURPHY (D-CT)",0.570206403117048,0.362648658927411,0.942161339421613,0.0060882800608828
"BALDWIN (D-WI)",0.570114878263564,0.36718551926112,0.943683409436834,0.0045662100456621
"BLUMENTHAL (D-CT)",0.570023518632663,0.372161837123496,0.945205479452055,0.0030441400304414
"MENENDEZ (D-NJ)",0.567654984944763,0.343485108626728,0.936073059360731,0.0121765601217656
"BROWN (D-OH)",0.561802924325384,0.327088039545093,0.928462709284627,0.015220700152207
"BOXER (D-CA)",0.558272292795503,0.263890254521716,0.878234398782344,0.0684931506849315
"SHAHEEN (D-NH)",0.556939560857252,0.341104583403142,0.937595129375951,0.0106544901065449
"KING (I-ME)",0.55558603450683,0.346000787185096,0.939117199391172,0.0076103500761035
"REED (D-RI)",0.553058067749958,0.343494351131157,0.937595129375951,0.0060882800608828
"SCHATZ (D-HI)",0.547163308211113,0.259022539413189,0.878234398782344,0.076103500761035
"GILLIBRAND (D-NY)",0.545566364044339,0.320581698206022,0.929984779299848,0.0121765601217656
"PRYOR (D-AR)",0.542777690557337,0.275119042549813,0.898021308980213,0.0547945205479452
"WARREN (D-MA)",0.539031325395412,0.30326724211113,0.922374429223744,0.0182648401826484
"ROCKEFELLER (D-WV)",0.530636113668036,0.223267105189977,0.829528158295282,0.124809741248097
"WHITEHOUSE (D-RI)",0.527795913453426,0.315727768109314,0.931506849315068,0.0121765601217656
"WYDEN (D-OR)",0.526711207616064,0.327963169428136,0.93455098934551,0.0015220700152207
"MERKLEY (D-OR)",0.51134035033281,0.292936409055638,0.922374429223744,0.0136986301369863
"REID (D-NV)",0.508277594903628,0.278362949721124,0.91324200913242,0.0136986301369863
"BAUCUS (D-MT)",0.462634146201727,0.154643760695946,0.441400304414003,0.523592085235921
"SANDERS (I-VT)",0.441767722234206,0.190125027356855,0.849315068493151,0.0654490106544901
"MARKEY (D-MA)",0.40954283902472,0.159156064990573,0.701674277016743,0.280060882800609
"BOOKER (D-NJ)",0.387393185066109,0.142651899479536,0.627092846270928,0.360730593607306
"COWAN (D-MA)",0.330818374417646,0.133989696926654,0.203957382039574,0.765601217656012
"MANCHIN (D-WV)",0.270278778817924,0.131570971519265,0.86910197869102,0.0197869101978691
"WALSH (D-MT)",0.259414230136055,0.0920306366791898,0.502283105022831,0.484018264840183
"LEE (R-UT)",0.19491426293116,0.0702648583699755,0.246575342465753,0.0350076103500761
"RISCH (R-ID)",0.179507378637579,0.0665192436020365,0.263318112633181,0.0197869101978691
"SCOTT (R-SC)",0.178694282652946,0.0636876219477759,0.289193302891933,0.0273972602739726
"COBURN (R-OK)",0.175252943827538,0.0502920747737312,0.240487062404871,0.199391171993912
"OBAMA (D-USA)",0.171294955369486,0.0652241400478643,0.360730593607306,0.637747336377473
"CRUZ (R-TX)",0.163799308545904,0.0538493939151886,0.267884322678843,0.0669710806697108
"CRAPO (R-ID)",0.160538148504003,0.0604249595764772,0.284627092846271,0.0106544901065449
"SESSIONS (R-AL)",0.15727786003618,0.0565561981954156,0.307458143074581,0.0197869101978691
"JOHNSON (R-WI)",0.155515372775211,0.0544344881824619,0.305936073059361,0.0289193302891933
"VITTER (R-LA)",0.140034298101297,0.043059486890631,0.305936073059361,0.0974124809741248
"PAUL (R-KY)",0.134289887037721,0.0473947519250031,0.292237442922374,0.0273972602739726
"ROBERTS (R-KS)",0.132820834009031,0.0436871340266256,0.278538812785388,0.060882800608828
"INHOFE (R-OK)",0.132466665267513,0.039983194932508,0.28310502283105,0.115677321156773
"BARASSO (R-WY)",0.130158789807457,0.0480670728158076,0.318112633181126,0.0091324200913242
"ENZI (R-WY)",0.125457279948391,0.0463338430455857,0.316590563165906,0.0091324200913242
"MORAN (R-KS)",0.118951772813125,0.0361808600877968,0.307458143074581,0.101978691019787
"RUBIO (R-FL)",0.116632946081573,0.0371716351844499,0.319634703196347,0.0684931506849315
"CORNYN (R-TX)",0.115343846352875,0.0390987959179374,0.337899543378995,0.0334855403348554
"GRASSLEY (R-IA)",0.11443796685869,0.0434484752395122,0.350076103500761,0
"SHELBY (R-AL)",0.114156060302195,0.0412338814846201,0.324200913242009,0.0136986301369863
"TOOMEY (R-PA)",0.113156400284027,0.0381569520820683,0.359208523592085,0.0334855403348554
"BOOZMAN (R-AR)",0.112729542164641,0.0340104420901989,0.32572298325723,0.103500761035008
"THUNE (R-SD)",0.107939295204072,0.0394788193178047,0.362252663622527,0.0060882800608828
"MCCONNELL (R-KY)",0.103237985138739,0.0380980176200057,0.351598173515982,0.0045662100456621
"BURR (R-NC)",0.0972737019104662,0.0329241138020891,0.377473363774734,0.0289193302891933
"COATS (R-IN)",0.0889114806928425,0.0303131563451258,0.394216133942161,0.0243531202435312
"FISCHER (R-NE)",0.088373106787323,0.0332514332147393,0.359208523592085,0
"HELLER (R-NV)",0.0737576232952356,0.0253069128067525,0.377473363774734,0.0213089802130898
"CHAMBLISS (R-GA)",0.0684170555104189,0.0199239034447148,0.409436834094368,0.123287671232877
"BLUNT (R-MO)",0.0673612806459807,0.0212408286295404,0.378995433789954,0.0593607305936073
"JOHANNS (R-NE)",0.0660696507870792,0.0208626351413802,0.383561643835616,0.0578386605783866
"CORKER (R-TN)",0.0653191649229633,0.0220896218969989,0.424657534246575,0.0243531202435312
"PORTMAN (R-OH)",0.0644250125348191,0.0218683747570911,0.426179604261796,0.0228310502283105
"HATCH (R-UT)",0.0602927709174723,0.0195207110423977,0.445966514459665,0.0441400304414003
"HOEVEN (R-ND)",0.0557423273909011,0.0197045249955728,0.404870624048706,0.0091324200913242
"COLLINS (R-ME)",0.0556422291089898,0.0228904629596525,0.736681887366819,0
"MCCAIN (R-AZ)",0.0539823265286557,0.0172974006627169,0.429223744292237,0.0471841704718417
"KIRK (R-IL)",0.0500559860368493,0.0153887390299477,0.4337899543379,0.0715372907153729
